# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.752862e+00 1.165657e-14 1.114132e-17
1.753258e+00 1.139134e-14 1.118335e-17
1.753654e+00 1.098859e-14 1.061852e-17
1.754050e+00 1.070620e-14 1.022234e-17
1.754446e+00 1.054604e-14 1.001377e-17
1.754842e+00 1.095521e-14 1.033395e-17
1.755238e+00 1.111027e-14 1.071749e-17
1.755634e+00 1.058378e-14 1.115122e-17
1.756030e+00 1.011906e-14 1.127349e-17
1.756426e+00 9.998259e-15 1.141647e-17
1.756822e+00 1.018741e-14 1.110918e-17
1.757218e+00 1.071262e-14 1.129242e-17
1.757614e+00 1.091135e-14 1.146015e-17
1.758010e+00 1.061236e-14 1.169644e-17
1.758406e+00 1.039779e-14 1.168808e-17
1.758802e+00 1.028984e-14 1.125442e-17
1.759198e+00 1.051402e-14 1.111337e-17
1.759594e+00 1.080835e-14 1.138601e-17
1.759990e+00 1.095767e-14 1.462317e-17
1.760386e+00 nan nan
1.760782e+00 1.029672e-14 1.190907e-17
1.761178e+00 1.020108e-14 1.490553e-17
1.761574e+00 1.081456e-14 1.539715e-17
1.761970e+00 1.069715e-14 1.253337e-17
1.762366e+00 1.007100e-14 1.170157e-17
1.762762e+00 9.907110e-15 1.135012e-17
1.763158e+00 nan nan
1.763554e+00 nan nan
1.763950e+00 1.100568e-14 1.212206e-17
1.764346e+00 1.028565e-14 1.113615e-17
1.764742e+00 1.030702e-14 1.127014e-17
1.765138e+00 1.076177e-14 1.179496e-17
1.765534e+00 1.078933e-14 1.327451e-17
1.765930e+00 1.111549e-14 1.412036e-17
1.766326e+00 1.149440e-14 1.466639e-17
1.766722e+00 1.095498e-14 1.395894e-17
1.767118e+00 1.012209e-14 1.299019e-17
1.767514e+00 9.828545e-15 1.266786e-17
1.767910e+00 9.716519e-15 1.389317e-17
1.768306e+00 9.594533e-15 1.254407e-17
1.768702e+00 9.801306e-15 1.292191e-17
1.769098e+00 1.025004e-14 1.337331e-17
1.769494e+00 1.070292e-14 1.358138e-17
1.769890e+00 1.079007e-14 1.396677e-17
1.770286e+00 1.055255e-14 1.383577e-17
1.770682e+00 1.042900e-14 1.284099e-17
1.771078e+00 1.011857e-14 1.206339e-17
1.771474e+00 1.015562e-14 1.234627e-17
1.771870e+00 1.018681e-14 1.441247e-17
1.772266e+00 1.008572e-14 2.512569e-17
1.772662e+00 9.486034e-15 1.472379e-17
1.773058e+00 9.664554e-15 1.272966e-17
1.773454e+00 1.030973e-14 1.362033e-17
1.773850e+00 1.057167e-14 1.391676e-17
1.774246e+00 1.012822e-14 1.342695e-17
1.774642e+00 9.521079e-15 1.289772e-17
1.775038e+00 9.200310e-15 1.245306e-17
1.775434e+00 9.480613e-15 1.292028e-17
1.775830e+00 9.716141e-15 1.313610e-17
1.776226e+00 9.421019e-15 1.282660e-17
1.776622e+00 9.250914e-15 1.278100e-17
1.777018e+00 9.628656e-15 1.307320e-17
1.777414e+00 9.815446e-15 1.078926e-17
1.777810e+00 9.685540e-15 8.955503e-18
1.778206e+00 9.690724e-15 8.577961e-18
1.778602e+00 9.719001e-15 8.523520e-18
1.778998e+00 9.513435e-15 8.505313e-18
1.779394e+00 9.171029e-15 8.413088e-18
1.779790e+00 9.279271e-15 8.725958e-18
1.780186e+00 9.940254e-15 9.257258e-18
1.780582e+00 nan nan
1.780978e+00 9.414468e-15 9.745803e-18
1.781374e+00 8.985068e-15 1.005497e-17
1.781770e+00 9.261718e-15 1.035491e-17
1.782166e+00 9.550615e-15 1.123332e-17
1.782562e+00 9.400777e-15 1.119591e-17
1.782958e+00 9.603645e-15 1.081437e-17
1.783354e+00 1.015351e-14 1.173466e-17
1.783750e+00 1.044572e-14 1.240399e-17
1.784146e+00 1.027802e-14 1.245930e-17
1.784542e+00 9.847331e-15 1.207027e-17
1.784938e+00 9.448446e-15 1.158846e-17
1.785334e+00 9.130035e-15 1.103678e-17
1.785730e+00 8.773724e-15 1.001792e-17
1.786126e+00 8.910585e-15 8.910873e-18
1.786522e+00 9.152968e-15 8.680937e-18
1.786918e+00 8.640872e-15 8.076373e-18
1.787314e+00 8.412708e-15 7.804984e-18
1.787710e+00 8.753706e-15 7.845863e-18
1.788106e+00 9.025588e-15 7.974369e-18
1.788502e+00 9.036807e-15 7.887598e-18
1.788898e+00 9.157961e-15 7.860017e-18
1.789294e+00 9.516366e-15 7.986310e-18
1.789690e+00 9.647366e-15 7.917106e-18
1.790086e+00 9.327344e-15 7.724046e-18
1.790482e+00 9.016056e-15 7.592422e-18
1.790878e+00 9.153882e-15 7.724457e-18
1.791274e+00 9.131898e-15 7.793570e-18
