# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.851070e+00 7.529534e-15 7.752411e-18
1.851466e+00 7.765568e-15 7.768744e-18
1.851862e+00 7.900612e-15 7.766421e-18
1.852258e+00 7.856611e-15 7.440983e-18
1.852654e+00 7.619209e-15 7.286801e-18
1.853050e+00 7.029951e-15 6.825681e-18
1.853446e+00 6.816907e-15 6.735098e-18
1.853842e+00 6.894831e-15 7.116386e-18
1.854238e+00 7.153957e-15 7.306103e-18
1.854634e+00 7.031873e-15 6.807704e-18
1.855030e+00 6.870038e-15 6.604509e-18
1.855426e+00 7.279735e-15 6.873374e-18
1.855822e+00 7.365909e-15 6.940599e-18
1.856218e+00 6.673657e-15 6.442926e-18
1.856614e+00 6.054588e-15 6.034971e-18
1.857010e+00 6.235076e-15 6.078836e-18
1.857406e+00 6.557171e-15 5.875972e-18
1.857802e+00 6.280069e-15 5.437119e-18
1.858198e+00 6.059162e-15 5.291699e-18
1.858594e+00 6.193298e-15 5.431886e-18
1.858990e+00 6.349046e-15 5.527704e-18
1.859386e+00 6.510426e-15 5.552250e-18
1.859782e+00 6.639403e-15 5.787850e-18
1.860178e+00 6.497783e-15 5.689634e-18
1.860574e+00 6.353536e-15 5.666778e-18
1.860970e+00 6.329266e-15 5.638179e-18
1.861366e+00 6.421686e-15 5.700842e-18
1.861762e+00 6.849486e-15 5.998454e-18
1.862158e+00 7.092153e-15 6.257124e-18
1.862554e+00 6.827175e-15 6.260922e-18
1.862950e+00 6.700460e-15 6.626752e-18
1.863346e+00 7.003582e-15 7.083215e-18
1.863742e+00 7.179537e-15 7.716657e-18
1.864138e+00 6.967248e-15 7.950197e-18
1.864534e+00 6.812871e-15 7.947019e-18
1.864930e+00 6.676145e-15 8.009038e-18
1.865326e+00 6.326240e-15 8.714936e-18
1.865722e+00 6.429692e-15 9.103210e-18
1.866118e+00 6.963463e-15 9.861916e-18
1.866514e+00 7.231963e-15 1.031124e-17
1.866910e+00 7.101918e-15 1.020167e-17
1.867306e+00 6.955087e-15 9.898637e-18
1.867702e+00 6.530576e-15 8.291772e-18
1.868098e+00 6.245279e-15 7.548175e-18
1.868494e+00 6.799658e-15 7.647539e-18
1.868890e+00 7.049422e-15 7.997243e-18
1.869286e+00 7.331848e-15 9.939510e-18
1.869682e+00 7.192392e-15 7.924289e-18
1.870078e+00 7.292096e-15 7.739219e-18
1.870474e+00 7.410196e-15 8.208799e-18
1.870870e+00 7.089392e-15 8.168281e-18
1.871266e+00 6.630547e-15 7.978537e-18
1.871662e+00 6.688770e-15 9.334758e-18
1.872058e+00 7.024327e-15 1.032940e-17
1.872454e+00 7.015499e-15 1.007314e-17
1.872850e+00 6.489009e-15 9.453777e-18
1.873246e+00 5.991470e-15 9.987894e-18
1.873642e+00 nan nan
1.874038e+00 nan nan
1.874434e+00 7.156098e-15 1.593744e-17
1.874830e+00 7.088389e-15 1.562719e-17
1.875226e+00 7.123187e-15 1.553795e-17
1.875622e+00 7.447301e-15 1.611252e-17
1.876018e+00 7.558969e-15 1.603035e-17
1.876414e+00 7.291408e-15 1.535677e-17
1.876810e+00 6.839414e-15 1.433075e-17
1.877206e+00 6.710435e-15 1.319321e-17
1.877602e+00 6.753790e-15 9.975739e-18
1.877998e+00 6.620480e-15 7.400407e-18
1.878394e+00 6.332191e-15 6.347849e-18
1.878790e+00 6.279419e-15 6.451685e-18
1.879186e+00 6.588751e-15 5.761770e-18
1.879582e+00 6.730594e-15 5.860725e-18
1.879978e+00 6.907113e-15 6.048526e-18
1.880374e+00 7.160368e-15 6.031632e-18
1.880770e+00 7.398855e-15 6.097211e-18
1.881166e+00 7.170375e-15 6.100930e-18
1.881562e+00 6.816067e-15 5.950488e-18
1.881958e+00 7.158274e-15 6.239635e-18
1.882354e+00 7.630792e-15 6.624750e-18
1.882750e+00 7.955193e-15 7.013908e-18
1.883146e+00 7.786688e-15 7.006301e-18
1.883542e+00 7.620038e-15 6.974845e-18
1.883938e+00 7.492468e-15 6.949415e-18
1.884334e+00 7.397371e-15 6.902643e-18
1.884730e+00 7.138326e-15 7.646136e-18
1.885126e+00 6.777876e-15 7.539346e-18
1.885522e+00 6.731650e-15 6.712619e-18
1.885918e+00 7.046116e-15 7.034843e-18
1.886314e+00 7.312054e-15 7.195922e-18
1.886710e+00 7.054826e-15 6.936381e-18
1.887106e+00 7.207966e-15 6.712637e-18
1.887502e+00 7.584192e-15 6.678714e-18
1.887898e+00 7.601411e-15 6.576602e-18
1.888294e+00 7.296295e-15 6.277306e-18
1.888690e+00 6.637723e-15 5.912817e-18
1.889086e+00 6.746989e-15 5.983529e-18
1.889482e+00 7.343646e-15 6.304509e-18
1.889878e+00 7.444248e-15 6.373859e-18
1.890274e+00 7.265881e-15 6.498887e-18
1.890670e+00 7.321959e-15 6.278117e-18
