# Wlen(nm) Transmission
1.922139416361765143e+03 7.290527416047172249e-01
1.922146071615398796e+03 7.308576869630583062e-01
1.922152633390885740e+03 7.317024059124426216e-01
1.922159209008714924e+03 7.314920665934473432e-01
1.922165849982496184e+03 7.301294197684200515e-01
1.922172345787229915e+03 7.274006806591077900e-01
1.922179066136507572e+03 7.229324308602890214e-01
1.922185553861269455e+03 7.161047378758517157e-01
1.922192209940521479e+03 7.059598038433470002e-01
1.922198769394862893e+03 6.910605839232519809e-01
1.922205345231953970e+03 6.695325288286996246e-01
1.922211984490637406e+03 6.396187464810336731e-01
1.922218479908172185e+03 6.009487122904999534e-01
1.922225199148504316e+03 5.562458739970919108e-01
1.922231686251735937e+03 5.124098369020523291e-01
1.922238341083822661e+03 4.788275129618502213e-01
1.922244900288736972e+03 4.631925299094954984e-01
1.922251474271948609e+03 4.688977910062286369e-01
1.922258113887610307e+03 4.948166782106970807e-01
1.922264606844447599e+03 5.352509543209190701e-01
1.922271327048266585e+03 5.813020981830194778e-01
1.922277813529488867e+03 6.248088755392195992e-01
1.922284465040392888e+03 6.613981079017950959e-01
1.922291026068831798e+03 6.901103503915120285e-01
1.922297596123788253e+03 7.117856867662599729e-01
1.922304238169738028e+03 7.278688578719567648e-01
1.922310726591144203e+03 7.397893140667780587e-01
1.922317449832117518e+03 7.487269223926331652e-01
1.922323935690851158e+03 7.555372441084056145e-01
1.922330581805319298e+03 7.608434173392720767e-01
1.922337146731468692e+03 7.650469531617141161e-01
1.922343710782559128e+03 7.684037539253629756e-01
1.922350357333340753e+03 7.710630876183960369e-01
1.922356842752349849e+03 7.730792304482575483e-01
1.922363563887280407e+03 7.744296995767326885e-01
1.922370052732141176e+03 7.750119946349829370e-01
1.922376691373685389e+03 7.747559948813831365e-01
1.922383262272966931e+03 7.737068102863694508e-01
1.922389818243343825e+03 7.721950550669811619e-01
1.922396471374737757e+03 7.707268506159263843e-01
1.922402956170436482e+03 7.695489591091704273e-01
1.922409668362760385e+03 7.684774051386014104e-01
1.922416164649677057e+03 7.668939991752304897e-01
1.922422793740570569e+03 7.637607558182041290e-01
1.922429372689642832e+03 7.579506920334924125e-01
1.922435918501220840e+03 7.492007267263779413e-01
1.922442580290243086e+03 7.390510173243745040e-01
1.922449064462151910e+03 7.305763130627441759e-01
