# Wlen(nm) Transmission
1.922040631232630631e+03 7.000442055339062275e-01
1.922047126050328643e+03 7.001348871350686620e-01
1.922053773439309225e+03 7.011774917149846686e-01
1.922060346067311912e+03 7.032000701367455697e-01
1.922066915032129145e+03 7.059363816821049298e-01
1.922073565647401665e+03 7.087772684468390816e-01
1.922080056010971020e+03 7.109628556071575511e-01
1.922086784790508318e+03 7.120638640502349181e-01
1.922093273756895314e+03 7.121949873446405954e-01
1.922099926113360880e+03 7.119523722546845512e-01
1.922106492280478733e+03 7.120395529896601516e-01
1.922113065607139333e+03 7.129334388166738146e-01
1.922119710366860318e+03 7.147791713657687396e-01
1.922126204486527968e+03 7.173898502972562152e-01
1.922132928015951620e+03 7.202885739180635571e-01
1.922139416361765143e+03 7.228719095982857334e-01
1.922146071615398796e+03 7.247066555556926915e-01
1.922152633390885740e+03 7.255636297979178861e-01
1.922159209008714924e+03 7.253460521101413594e-01
1.922165849982496184e+03 7.239548582829109513e-01
1.922172345787229915e+03 7.211729909021939999e-01
1.922179066136507572e+03 7.166211325954058298e-01
1.922185553861269455e+03 7.096704174430495948e-01
1.922192209940521479e+03 6.993506798048396700e-01
1.922198769394862893e+03 6.842107405599817671e-01
1.922205345231953970e+03 6.623642947738648257e-01
1.922211984490637406e+03 6.320530146017577788e-01
1.922218479908172185e+03 5.929257335066975276e-01
1.922225199148504316e+03 5.477520914165131538e-01
1.922231686251735937e+03 5.034929149002012050e-01
1.922238341083822661e+03 4.695956337718349416e-01
1.922244900288736972e+03 4.538088836130967363e-01
1.922251474271948609e+03 4.595570495629637264e-01
1.922258113887610307e+03 4.857033735923664275e-01
1.922264606844447599e+03 5.265085285328525710e-01
1.922271327048266585e+03 5.730210733989368199e-01
1.922277813529488867e+03 6.170210629552819181e-01
1.922284465040392888e+03 6.540821774517708853e-01
1.922291026068831798e+03 6.832111223530934474e-01
1.922297596123788253e+03 7.052326862271335317e-01
1.922304238169738028e+03 7.215909668387744391e-01
1.922310726591144203e+03 7.337250350279828082e-01
1.922317449832117518e+03 7.428272686644932232e-01
1.922323935690851158e+03 7.497648793808158185e-01
1.922330581805319298e+03 7.551705857235152530e-01
1.922337146731468692e+03 7.594529726715345541e-01
1.922343710782559128e+03 7.628725029419977099e-01
1.922350357333340753e+03 7.655810770039023216e-01
1.922356842752349849e+03 7.676341251349176886e-01
1.922363563887280407e+03 7.690084606879430407e-01
1.922370052732141176e+03 7.695995625666131046e-01
1.922376691373685389e+03 7.693356193818206012e-01
1.922383262272966931e+03 7.682627335320125761e-01
1.922389818243343825e+03 7.667179424674217536e-01
1.922396471374737757e+03 7.652173004646883880e-01
1.922402956170436482e+03 7.640126852148008130e-01
1.922409668362760385e+03 7.629165709125241834e-01
1.922416164649677057e+03 7.612993739061207910e-01
1.922422793740570569e+03 7.581035732809916494e-01
1.922429372689642832e+03 7.521813465701229218e-01
1.922435918501220840e+03 7.432653127385222547e-01
1.922442580290243086e+03 7.329244868245552436e-01
1.922449064462151910e+03 7.242899901938179008e-01
1.922455765633263354e+03 7.201926424851418096e-01
1.922462271439773303e+03 7.218988668530326169e-01
1.922468888901051287e+03 7.293292711074059742e-01
1.922475477977809305e+03 7.409643588224251731e-01
1.922482011551265259e+03 7.538588441256491857e-01
1.922488684076170330e+03 7.652420865011354545e-01
1.922495167623806992e+03 7.739472242702393201e-01
1.922501855693862808e+03 7.801279090923534110e-01
1.922508373098739867e+03 7.844556625662856275e-01
1.922514976850199673e+03 7.876597509942988573e-01
1.922521578133776757e+03 7.902301680398416961e-01
1.922528097388548531e+03 7.923917033632716933e-01
1.922534782728828759e+03 7.942273759502460617e-01
1.922541265651712592e+03 7.957738836108158020e-01
1.922547938539628831e+03 7.970742167513571452e-01
1.922554469622886018e+03 7.981450868959047984e-01
1.922561057583085358e+03 7.990124347032295793e-01
1.922567673153854230e+03 7.997047104155189379e-01
1.922574176008138920e+03 8.002486290223771448e-01
1.922580876244526280e+03 8.006731418699808422e-01
1.922587358542175707e+03 8.009868864381515241e-01
1.922594014165628778e+03 8.012047766052319275e-01
1.922600561008518753e+03 8.013237951143584725e-01
1.922607131094773422e+03 8.013426066610706000e-01
1.922613763034345538e+03 8.012528297360815843e-01
1.922620247405100145e+03 8.010344477435216159e-01
1.922626964619566252e+03 8.006669801480471582e-01
1.922633446291499467e+03 8.001101902544250910e-01
1.922640082566924548e+03 7.993449162218710935e-01
1.922646647251940522e+03 7.983703364830053717e-01
1.922653197380325537e+03 7.972492531377212144e-01
1.922659847771554723e+03 7.960750891179418920e-01
1.922666329001471468e+03 7.948916576238455045e-01
1.922673030422822649e+03 7.936984042990961052e-01
1.922679528895986095e+03 7.924343229415762302e-01
1.922686143738575538e+03 7.909798069640274765e-01
1.922692728349452636e+03 7.891513603408328859e-01
1.922699256434800418e+03 7.867814836048185878e-01
1.922705927361781050e+03 7.837363021976655464e-01
1.922712407965156444e+03 7.798733757174669545e-01
1.922719086478079362e+03 7.750207987116165542e-01
1.922725606351933948e+03 7.689229990537335135e-01
1.922732197675637735e+03 7.612198909556304738e-01
1.922738804297352544e+03 7.513768142438778108e-01
1.922745308253252460e+03 7.386138720119622691e-01
1.922752001801321967e+03 7.218238943707823152e-01
1.922758481777672841e+03 6.994296472996103242e-01
1.922765135295233677e+03 6.692926926154901812e-01
1.922771678655639334e+03 6.289323653518281709e-01
1.922778244373162579e+03 5.762984902556430589e-01
1.922784875091935874e+03 5.113247287495662485e-01
1.922791354625341683e+03 4.379782435346847302e-01
1.922798069291815182e+03 3.653843261592350511e-01
1.922804550435314695e+03 3.062222666075412048e-01
1.922811176869334986e+03 2.725862912298635532e-01
1.922817745803395837e+03 2.717320067379511150e-01
1.922824283826199007e+03 3.037370865374601214e-01
1.922830940729495296e+03 3.615440901086032222e-01
1.922837419635050082e+03 4.331124759751955877e-01
1.922844105739995030e+03 5.057141319871305551e-01
1.922850613934373541e+03 5.700806192214422641e-01
1.922857211195429500e+03 6.220709480230802724e-01
1.922863807791493400e+03 6.615400164809185357e-01
1.922870316029791638e+03 6.903533995330548567e-01
1.922877001206319164e+03 7.108258521471679803e-01
1.922883479483539531e+03 7.249081122848618497e-01
1.922890134936646746e+03 7.340086969232207936e-01
1.922896672271137959e+03 7.390025031701069613e-01
1.922903238268558198e+03 7.402863355230014930e-01
1.922909864616220148e+03 7.377296338529661934e-01
1.922916342449564581e+03 7.307843284161583686e-01
1.922923055048076321e+03 7.188453096310177814e-01
1.922929534167097700e+03 7.018644379626706176e-01
1.922936156876810855e+03 6.812702724145919264e-01
1.922942725441893799e+03 6.606074180076787483e-01
1.922949258083761606e+03 6.448014058211144484e-01
1.922955916273861931e+03 6.380528135675139767e-01
1.922962393478042713e+03 6.423220367231960992e-01
1.922969071852772231e+03 6.570846628691221492e-01
1.922975583682008619e+03 6.793539305600947431e-01
1.922982171555523792e+03 7.044553529908816891e-01
1.922988773442924412e+03 7.280227530382635814e-01
1.922995270636073656e+03 7.476159876817779493e-01
1.923001962760700280e+03 7.627090242948865173e-01
1.923008439335232879e+03 7.738680762515571798e-01
1.923015081392489037e+03 7.820312146458066049e-01
1.923021628024553365e+03 7.880443578616569411e-01
1.923028178967816984e+03 7.925473345219139487e-01
1.923034816270510646e+03 7.959771432840113681e-01
1.923041292400235079e+03 7.986204547834689915e-01
1.923047987592878371e+03 8.006819564415001977e-01
1.923054480017414789e+03 8.022926070261857667e-01
1.923061083662257261e+03 8.035513752969585255e-01
1.923067667191010059e+03 8.045235131628349912e-01
1.923074179108719591e+03 8.052562609166251661e-01
1.923080853920930622e+03 8.057857262866898740e-01
1.923087329420176275e+03 8.061292431836238892e-01
1.923093984717612329e+03 8.063060609323531303e-01
1.923100515520864747e+03 8.063162746731340480e-01
1.923107078657101965e+03 8.061512417595300128e-01
1.923113701177655685e+03 8.057867418735678022e-01
1.923120176231503592e+03 8.051963645302977479e-01
1.923126882132100945e+03 8.043912219284814480e-01
1.923133361258739797e+03 8.034455409727588870e-01
1.923139974563889382e+03 8.025327077205134385e-01
1.923146545841856096e+03 8.018319093534719277e-01
1.923153066372045942e+03 8.014480906863031828e-01
1.923159729980762449e+03 8.014024938855336400e-01
1.923166204403301208e+03 8.016240227683134600e-01
1.923172866827299231e+03 8.019576415364482180e-01
1.923179387912197853e+03 8.022120633834625147e-01
1.923185957126728908e+03 8.022732660272328120e-01
1.923192570976661273e+03 8.021144908411362850e-01
1.923199046802108796e+03 8.017608441905806904e-01
1.923205753596600971e+03 8.012640760158218356e-01
1.923212227387343546e+03 8.006639701604416626e-01
1.923218844235520692e+03 7.999980643214358311e-01
1.923225409376819471e+03 7.992824023387276045e-01
1.923231932401147105e+03 7.985244336996547565e-01
1.923238590921548166e+03 7.977252507289348538e-01
1.923245064265957353e+03 7.968728561840826563e-01
1.923251727696635271e+03 7.959599689980045856e-01
1.923258245179898950e+03 7.949736450520914488e-01
1.923264814351779478e+03 7.939080866143831683e-01
1.923271425648870718e+03 7.927531614053696662e-01
1.923277900382156986e+03 7.914934106663545910e-01
1.923284605672782391e+03 7.901170905354327756e-01
1.923291078384562752e+03 7.886082588543743555e-01
1.923297692652218757e+03 7.869783075337538625e-01
1.923304257777231442e+03 7.852665633498168152e-01
1.923310777171086556e+03 7.835149469036482017e-01
1.923317436724616527e+03 7.817191063287426411e-01
1.923323908989471875e+03 7.798377225261839962e-01
1.923330567300676648e+03 7.778322796590727561e-01
1.923337087305291107e+03 7.756690802238942473e-01
1.923343650307303960e+03 7.733853963572236978e-01
1.923350265175603454e+03 7.711283287795753782e-01
1.923356736993287768e+03 7.690721939084669279e-01
